timestamp,uniques,count
2020-09-11,383,2586
2020-09-12,294,1865
2020-09-13,320,2228
2020-09-14,476,3870
2020-09-15,421,2748
2020-09-16,385,2548
2020-09-17,323,1987
2020-09-18,218,1385
2020-09-19,239,1331
2020-09-20,347,1971
2020-09-21,477,3136
2020-09-22,451,2728
2020-09-23,519,3299
2020-09-24,424,2288
