issue,created_at,closed_at
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/556,2020-09-02 17:35:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/556,2020-09-02 17:36:39,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/556,2020-09-02 17:48:21,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/555,2020-08-31 16:24:38,2020-09-01 12:17:24
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/555,2020-08-31 16:32:45,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/555,2020-08-31 18:57:06,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/555,2020-08-31 19:57:42,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/554,2020-08-31 02:52:32,2020-09-01 12:17:35
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/554,2020-08-31 12:42:03,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/553,2020-08-31 02:51:50,2020-08-31 12:29:58
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/553,2020-08-31 12:30:15,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/552,2020-08-30 23:53:13,2020-09-15 16:20:44
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/552,2020-09-07 16:29:09,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/551,2020-08-29 20:10:01,2020-08-31 13:38:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/551,2020-08-31 12:42:53,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-29 20:07:40,2020-08-31 19:25:07
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 00:30:20,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 12:43:40,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 13:41:24,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 13:59:51,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 16:19:55,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 16:33:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/550,2020-08-31 19:25:07,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/549,2020-08-27 14:02:08,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/548,2020-08-26 16:46:44,2020-08-26 18:32:15
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/548,2020-08-26 16:51:14,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/548,2020-08-26 17:32:29,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/548,2020-08-26 17:47:44,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/548,2020-08-26 18:10:44,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/547,2020-08-26 13:15:13,2020-08-26 18:52:37
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/547,2020-08-26 15:49:02,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/547,2020-08-26 16:04:16,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/547,2020-08-26 18:39:02,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/546,2020-08-24 10:45:41,2020-08-24 19:00:18
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/546,2020-08-24 13:25:22,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/546,2020-08-24 19:00:18,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/545,2020-08-23 01:20:11,2020-08-26 13:51:22
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/544,2020-08-23 00:34:56,2020-08-23 02:26:47
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/544,2020-08-23 02:26:47,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/543,2020-08-23 00:12:52,2020-08-24 19:03:00
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/543,2020-08-24 19:03:00,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/542,2020-08-21 21:18:59,2020-08-21 21:19:07
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/541,2020-08-21 20:28:45,2020-08-21 21:18:40
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/540,2020-08-21 15:32:41,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/540,2020-08-21 16:55:30,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/540,2020-08-21 17:54:47,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/540,2020-08-26 16:18:02,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/539,2020-08-20 16:48:08,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/539,2020-08-20 17:21:00,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/538,2020-08-19 21:26:47,2020-08-19 21:38:02
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/537,2020-08-19 18:52:38,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/537,2020-08-19 19:44:41,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/537,2020-09-08 12:12:00,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/536,2020-08-18 21:05:01,2020-08-18 21:05:14
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/535,2020-08-18 15:33:43,2020-08-18 15:34:32
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/534,2020-08-18 14:48:21,2020-08-18 15:06:00
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/533,2020-08-17 17:29:24,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/533,2020-08-19 15:40:30,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/533,2020-08-21 15:41:41,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/533,2020-09-09 21:20:03,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/532,2020-08-16 17:17:53,2020-08-17 02:03:52
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/532,2020-08-17 01:50:35,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/531,2020-08-15 22:32:53,2020-08-19 21:16:17
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/531,2020-08-17 16:44:44,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/531,2020-08-19 21:16:17,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/530,2020-08-15 21:15:05,2020-08-17 01:51:09
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/530,2020-08-17 01:51:09,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/529,2020-08-13 14:21:03,2020-08-13 14:21:48
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/528,2020-08-12 21:19:24,2020-08-16 00:53:34
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/527,2020-08-12 20:42:50,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/526,2020-08-12 15:34:53,2020-08-12 16:54:12
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/526,2020-08-12 16:54:12,
https://api.github.com/repos/MinCiencia/Datos-COVID19/issues/525,2020-08-12 12:59:44,2020-08-12 13:00:10
